"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,自治里,997,901781,12364,9616,752169,41850,6421,3909,756,60257,861,10026,336,3216,621483,771095,962
,健行里,1558,1465384,14966,41458,1186705,70013,24201,5638,1641,92275,829,25527,7,2125,985816,1264837,1265
,興平里,806,693274,22754,16040,499371,41640,24219,1868,800,74655,2054,7893,5,1975,405067,598965,498
,中興里,1057,931157,5095,17678,794723,37656,11597,2156,1095,47905,473,11514,0,1266,649595,786030,500
,龍慈里,1492,1373436,12052,23339,1178934,42283,6121,3084,1647,81196,757,22767,6,1251,968512,1163015,867
,自信里,1711,1661019,22647,40064,1399736,52899,16668,5128,1650,77855,829,41281,0,2262,1162070,1423352,809
,林森里,1267,1244366,13375,37791,960059,56829,20662,2641,1917,127640,816,16456,30,6150,795290,1079979,944
,金華里,1549,2647116,20178,122896,1658072,107750,63673,38900,2383,577475,2966,45347,239,7238,1469007,2458484,3264
,其　他,8,2527,0,0,2525,0,0,0,2,0,0,0,0,0,1763,1765,0
,合　計,105207,96361920,1371079,1821170,76331030,4019343,1556335,392666,107509,9121307,78701,1271480,9554,281745,62648255,82689344,75890
"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
楊梅區,楊梅里,1291,1203012,35388,30541,829784,65750,34856,2752,1514,180353,2339,11606,0,8129,671644,1045187,243
,楊江里,371,319192,13179,9323,218689,22890,15606,1478,152,31581,0,5130,0,1165,178287,278789,60
,紅梅里,896,706547,6800,7366,556531,45646,9573,2141,1170,68207,33,7815,45,1218,445939,596413,581
,水美里,1352,1070184,8098,14805,882553,39139,14009,1471,1887,95144,177,11162,0,1740,694530,883066,129
,上田里,850,626909,13855,3900,518163,17718,10511,766,825,55310,87,4801,0,975,400757,510633,132
,東流里,840,579558,11375,4400,497730,15612,13751,1914,1117,27635,56,5613,0,355,382586,464877,70
,大平里,1032,781574,9060,4738,680111,32053,4033,1461,996,38301,0,9295,193,1334,541054,643731,512
,永寧里,2076,1900036,22250,25996,1568132,69988,16855,4683,2006,162819,923,22003,75,4308,1274854,1608773,1496
,瑞原里,1246,863937,8088,4558,748257,27217,7746,1648,957,53599,0,10311,0,1555,578975,694666,156
,員本里,801,619931,8610,5228,529569,16922,1685,2776,1352,45011,321,7367,0,1090,416983,507345,148
,富岡里,634,485410,4882,6099,387120,32665,3920,2257,531,41463,320,5426,0,727,308094,406384,71
