"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,合　計,3409,2318783,62972,36907,1848901,133312,16768,3058,2579,186789,1519,23101,227,2650,1453326,1923208,789
鹿草鄉,後寮村,91,67876,2163,237,51147,3602,368,85,105,9778,0,391,0,0,40473,57201,1
,鹿東村,123,88705,3426,34,70999,3892,1455,0,24,7682,0,1133,0,61,55679,73386,157
,鹿草村,295,190040,5631,4804,146930,11894,2270,177,175,16756,121,1128,0,153,115366,158475,44
,西井村,320,230165,11642,4668,182302,12048,4018,71,202,12731,0,2391,0,92,145486,193804,30
,豐稠村,130,89928,2172,1397,77248,3246,919,110,55,4009,0,772,0,0,61341,74021,9
,重寮村,191,126272,3515,1924,104806,4502,897,1914,182,7764,0,768,0,0,83165,104630,320
,施家村,99,66047,696,626,55424,3174,222,81,29,5586,0,209,0,0,42496,53118,3
,下潭村,125,87757,2491,274,71041,3368,401,631,38,8977,0,415,0,122,56165,72881,15
,光潭村,194,133922,5370,1375,112068,6090,1304,527,141,5616,0,1129,0,302,89318,111172,32
,碧潭村,137,91826,2887,523,76585,5535,312,112,388,3750,0,1531,0,203,61169,76410,145
"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,松竹村,196,132123,1963,1302,101036,9295,441,115,67,17050,0,670,0,185,78892,109979,128
,竹山村,177,113970,2245,1662,92863,3218,983,70,233,12009,0,688,0,0,71918,93025,38
,後堀村,312,214032,5374,2741,182907,10156,388,0,157,10197,0,2108,0,5,143703,174829,51
,三角村,346,232091,4231,2644,198136,6965,4834,38,236,12237,0,2718,0,53,154937,188892,69
,下麻村,121,77428,1907,91,62422,2780,844,0,27,6961,490,1297,0,610,47793,62799,12
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2857,1942183,55713,24303,1585914,89763,19654,3930,2060,141102,610,17348,0,1786,1247899,1604624,1053
太保市,太保里,608,524757,24115,7321,420014,17430,4369,663,434,44199,7,3634,0,2570,341005,445749,124
,後庄里,108,73549,4325,1295,54162,4426,265,99,56,8250,466,205,0,0,41346,60733,0
,前潭里,305,228912,5746,2645,167307,7614,1568,84,293,42220,20,1377,0,39,130704,192310,71
,後潭里,375,274555,8580,5173,222332,9724,3518,252,172,23364,95,1314,0,32,176608,228831,238
,春珠里,215,163152,7619,1491,122148,6356,928,262,207,21627,0,2492,0,21,95216,136219,5
,崙頂里,204,155389,4062,834,134200,8143,904,376,79,5620,153,1018,0,0,110325,131513,150
,安仁里,745,764259,15984,18132,622343,36844,6190,4504,481,53479,183,5847,0,272,518962,660879,319
