"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,頂安里,1405,1207121,49517,10233,914645,30648,19050,2691,1410,164184,0,11563,200,2981,729225,1021583,1272
,原佃里,555,470079,20285,3983,348285,16478,12538,408,301,60634,0,6700,0,468,277898,397936,259
,總頭里,396,300459,13249,1876,204691,14229,15594,542,325,47385,0,2409,0,158,157974,253763,192
,長安里,1132,728767,28543,4959,612971,20562,7099,933,841,43389,0,8858,124,488,473081,588751,443
,公親里,266,181600,5011,468,149955,4791,1521,263,164,18122,0,1147,0,157,114109,145754,16
,海東里,1510,1165232,42890,11404,933191,30591,13142,2376,1023,118432,585,10217,0,1381,745151,977192,671
,海西里,565,370280,17399,4380,289409,9028,7454,1227,862,33879,0,5036,0,1606,221219,302090,15
,海南里,522,323528,19525,5834,251605,8435,5331,893,335,28087,0,2047,0,1435,192611,264534,85
,溪心里,1903,1528123,69069,30496,1177081,48666,18834,4085,1279,157465,361,16781,0,4004,939621,1290663,613
,淵東里,1204,925280,38418,17469,728127,26211,9657,1699,918,90474,402,10314,0,1592,575651,772804,450
,淵中里,825,597351,26217,12984,480350,23164,7644,1309,832,37415,65,5857,0,1513,379424,496424,188
,淵西里,713,460854,21003,5008,376575,13119,4132,991,679,33989,366,4837,0,156,289132,373411,239
,佃東里,783,489595,19550,5065,418682,12116,3229,519,822,23894,0,5191,0,527,322676,393589,91
,佃西里,419,290555,18836,4962,221563,8733,3402,1471,290,28508,100,1804,0,885,170126,239117,67
"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,公󻕯里,187,116553,4390,845,99413,3209,1026,83,89,5959,0,1539,0,0,77178,94317,157
,南興里,350,220240,18030,5415,167411,7003,1290,47,192,18627,0,1952,0,273,128333,181162,14
,學東里,435,274166,9102,3585,223065,8476,2207,248,728,19631,112,6885,0,127,169604,220706,193
,城東里,257,153459,9106,5666,119205,5929,767,492,151,8087,0,3801,0,255,89821,124075,8
,城西里,275,180808,5009,534,137783,4788,4194,352,226,17970,0,9799,0,153,104914,147939,27
,城南里,586,374447,18639,9304,297139,8824,3115,551,306,28811,0,7624,0,133,229402,306935,22
,城北里,295,188478,8644,3501,144637,5768,1755,319,128,19648,0,4010,0,68,108750,152591,33
,城中里,226,137039,5622,1682,106785,6859,1197,128,67,9900,130,4388,0,280,82229,112482,6
,砂崙里,255,154994,6422,1219,126429,3352,2104,150,117,11330,0,3848,0,23,96711,125276,0
,青草里,222,136413,4311,2539,111369,3505,676,0,275,9855,0,3826,0,58,84688,109732,12
,四草里,328,229265,7780,2347,184210,8264,2332,365,186,19042,108,3699,146,787,145603,190532,580
,𥂁田里,383,346565,8212,4262,275391,10449,3894,1807,485,36002,0,6039,0,23,226300,297474,361
,顯宮里,345,239645,8630,2971,178893,7472,2014,365,559,15571,178,22773,0,218,138308,199060,101
,鹿耳里,187,112474,5481,562,87034,2887,923,169,143,12960,0,2315,0,0,65362,90800,40
,安和里,640,420400,24375,2708,333542,10673,4733,286,389,40356,0,2973,0,368,258616,345474,103
,溪北里,846,649568,27390,10399,489110,27713,7678,11026,574,69805,115,4858,33,867,385893,546350,690
,溪頂里,1332,1013355,35314,10849,832255,32880,7450,1274,1053,80409,187,9751,13,1917,661965,843065,473
,溪墘里,835,567318,21058,12973,441390,19906,14692,1419,357,49835,5,4912,0,772,341702,467630,206
,海佃里,1126,746184,30647,9274,584201,24684,10342,1902,832,77169,0,5805,0,1329,454980,616964,519
,幸福里,986,622350,24367,8408,513181,20259,6203,1569,864,40112,0,6757,0,629,393241,503874,316
,梅花里,1157,884230,30236,16004,679986,25438,8621,1790,1272,110491,186,9627,219,361,533814,738058,794
,鳳凰里,1236,881865,28881,13915,731444,21140,7479,3440,1359,66615,2,6948,99,542,571884,722305,608
,理想里,1365,1008973,42364,11390,771868,33978,18589,1920,1184,112233,9,13884,0,1554,608220,845325,336
,溪東里,1079,905393,29502,10466,659285,28771,5922,1323,1859,150081,664,7820,151,9549,524719,770757,1010
,布袋里,454,332553,25883,3409,234075,8819,8463,702,350,45328,0,4986,0,537,177804,276282,82
,國安里,665,508612,15643,4470,428455,13485,4092,1467,617,33796,44,6446,0,98,342612,422769,120
,安富里,1391,1019756,47571,9488,835508,33336,6223,974,954,74256,1544,9096,17,789,663663,847673,684
,大安里,913,552660,24894,8627,452267,17351,9646,618,520,31447,0,6684,0,606,342339,442730,33
,其　他,1,383,0,0,243,0,0,0,0,141,0,0,0,0,135,275,0
,合　計,42317,31509516,1318878,423425,24545256,993258,442798,85209,34717,3230980,7711,376980,2803,47500,19307874,26271408,19141
安平區,西門里,284,172845,6957,600,144524,9279,702,1057,445,8198,0,929,0,153,111898,140219,125
,金城里,499,575036,8721,10654,317219,17443,3903,1547,431,209931,50,5008,0,129,256914,514730,479
,石門里,533,370876,19789,6018,284773,15308,4782,1050,476,33493,0,4345,189,652,224430,310530,944
,漁光里,80,41897,779,1432,35219,983,790,7,46,2291,0,308,0,42,25816,32494,115
,建平里,1530,1741769,36036,69538,1032001,77033,31976,7345,1569,451741,1978,27279,360,4913,855678,1565390,2838
,怡平里,1261,1556264,29599,55990,967858,59881,22374,3331,1047,397485,243,15825,36,2596,816651,1405054,857
,華平里,1480,1232964,26773,52239,925488,53725,17289,3209,1070,134867,204,17186,1186,-273,750019,1057482,3109
,平通里,2052,2081150,48652,70182,1387313,65313,34517,13483,1363,429756,770,21278,409,8112,1129670,1823507,2531
,文平里,1630,1682469,41467,33137,1136793,79140,37484,7503,1203,325465,2635,12279,67,5297,942722,1488941,1766
"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,國平里,2141,2190546,38140,74055,1626888,92093,29839,7707,4194,291417,700,17852,283,7378,1363409,1927459,3652
,育平里,2213,2034287,43380,65002,1569456,65962,20741,7259,3464,230505,628,24121,677,3093,1295634,1760330,3668
,億載里,880,873821,48726,22196,617508,28668,17846,7798,718,121844,42,7538,0,939,512300,768613,980
,海頭里,337,223988,6985,3477,168994,9354,1855,281,207,30517,0,1000,272,1046,129111,184105,778
,港仔里,283,226108,24053,5933,160133,8554,1793,48,211,21268,389,3593,0,133,129650,195625,142
,平安里,1020,825726,23366,20274,582433,43081,13727,2609,675,128478,36,9000,283,1764,468653,711947,1077
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,16223,15829746,403423,490727,10956602,625818,239619,64236,17119,2817255,7674,167540,3761,35973,9012555,13886424,23063
