"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,合　計,7212,5294348,176905,117927,4024558,324426,67771,7467,4120,502936,5296,39889,300,22753,3188881,4458972,3158
員林市,東和里,314,261710,14276,8485,176747,17379,6314,424,437,29124,0,3607,0,4917,143458,228421,201
,民生里,791,572092,11994,19973,414485,32515,12060,808,548,69269,67,6326,0,4046,328375,485981,186
,中正里,1055,937272,14361,44965,695759,53467,16539,1639,674,91304,808,9092,5,8660,573085,814598,911
,新興里,215,167668,3733,11772,117060,15657,3780,519,141,11618,60,2424,48,856,94181,144789,250
,仁美里,891,815434,15434,41185,533852,84126,18159,5809,561,103675,210,8562,17,3845,442932,724563,731
,和平里,961,802751,18142,37195,557028,54165,20111,2467,935,98483,49,12902,0,1274,448372,694430,202
,光明里,263,214630,8132,6085,119020,15382,11762,331,66,50228,0,647,2171,807,94283,188498,3396
,中山里,213,199995,5634,10162,107789,17626,16278,761,105,35625,0,2900,0,3117,88759,180965,28
,黎明里,525,495576,16242,14089,265024,27667,13926,373,234,151315,713,3776,0,2218,209943,440818,330
,惠來里,1790,1495298,40075,59466,1051422,84321,28008,6433,1045,206443,72,15299,0,2714,844782,1288659,628
,三義里,784,634986,26306,8795,403348,33195,11371,778,2302,139376,323,5430,0,3762,313711,545349,123
,南平里,1609,1422871,30670,23502,1034151,81206,23112,1507,885,207198,851,15236,173,4381,835467,1224680,1712
,大埔里,565,369238,10686,3155,298011,10450,3273,1295,367,39944,0,1866,138,53,226873,298100,493
,源潭里,458,333710,14423,5264,254464,12541,3768,1211,336,36432,0,4996,103,171,195818,275064,531
,三條里,812,755015,14417,15006,558459,44881,9526,387,1310,101790,369,7841,48,981,459408,655964,617
,三橋里,934,721814,9288,14815,568029,38652,9707,3024,1519,62070,31,13114,130,1435,453711,607496,569
,溝皂里,691,708700,18003,13804,383295,25447,8933,554,1205,253400,90,3245,0,724,301242,626647,127
,中央里,575,430760,10708,3161,326850,13460,6221,374,419,67215,0,1436,0,917,254508,358537,69
,大饒里,956,717334,21367,9024,577645,25384,7576,1691,411,67908,0,5133,0,1197,451422,591111,107
,大明里,646,422762,13705,7872,336383,13625,2478,548,194,43923,0,3463,358,212,254676,341056,743
,萬年里,1070,856089,23133,14751,665409,42700,6964,2377,885,92845,233,5009,247,1536,533761,724441,1165
