"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,合　計,8661,6543791,157428,182339,5028360,423609,76405,9292,5348,573150,6954,56288,461,24158,4067442,5582613,4009
古坑鄉,古坑村,564,392190,8076,6878,302213,21126,9753,720,374,37985,1111,3780,0,175,234999,324976,161
,朝陽村,561,433487,7181,3449,325379,23244,1930,280,386,69009,0,2225,0,405,258055,366163,91
,西平村,358,247911,8686,2733,195390,14577,3342,434,147,20144,75,2135,0,249,153172,205694,43
,永光村,482,329313,8628,5971,255368,18732,2121,860,236,25755,119,2389,357,8776,199187,273131,780
,永昌村,477,332248,6590,5250,271985,19321,3938,176,230,21575,59,2564,0,560,211837,272100,120
,湳仔村,145,89160,3420,2416,74070,3960,490,64,20,2411,0,2284,0,25,57204,72293,1
,水碓村,255,162475,4543,1235,138826,7665,1805,29,44,6771,0,1293,0,264,108474,132123,79
,田心村,263,198903,3523,470,173899,7572,1369,33,98,8837,502,2600,0,0,138598,163602,141
,高林村,252,162100,2395,968,139335,9694,393,80,29,7639,64,710,0,794,108240,131006,319
,荷苞村,283,206309,5583,2152,157327,9534,5865,774,270,23780,41,961,0,21,123193,172174,12
,東和村,720,514875,6602,7851,426955,27064,2788,490,412,36755,19,5031,77,830,339671,427591,478
,新庄村,282,183544,6230,1538,156451,6051,1081,32,261,9801,230,1847,0,21,121530,148622,143
,棋盤村,417,294874,10164,898,245318,10180,1328,195,166,17332,0,9101,0,192,190906,240461,18
,麻園村,141,89586,6681,4232,65500,4891,2033,5,187,5714,0,342,0,2,50384,74470,9
,崁腳村,246,152597,3380,1457,131435,8141,998,150,172,5741,0,1071,0,51,102577,123740,58
,華山村,128,86889,6584,852,61003,3028,5140,1354,53,7155,0,1437,0,282,47917,73803,145
,華南村,51,42437,467,73,30381,2135,625,0,3,8624,0,128,0,1,24708,36763,0
,桂林村,169,102049,2803,1237,83046,3154,818,115,55,10213,149,451,0,9,62768,81771,23
,樟湖村,80,53845,1706,694,38338,1280,1452,14,14,10094,0,193,0,59,29158,44664,0
,草嶺村,74,45109,1486,1311,36436,1116,1197,0,68,3235,0,246,0,14,27761,36434,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5948,4119901,104728,51666,3308654,202464,48466,5805,3226,338569,2370,40789,434,12730,2590337,3401583,2622
