"表166-U(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：花 蓮 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"表166-U(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：花 蓮 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,富民村,142,83035,2374,22,74716,1932,67,1,106,2134,1147,535,0,0,57841,66160,59
,舞鶴村,158,78613,3563,565,66076,3289,878,60,82,3495,0,322,0,283,49247,61785,4
,鶴岡村,133,68645,1590,3902,59817,1285,199,16,188,1151,0,274,0,224,46195,55024,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1990,1248911,53486,27915,1001156,50897,13664,3331,1222,80048,1244,7564,270,8113,781844,1029597,1158
富里鄉,富里村,255,161244,3768,1922,131937,7106,1571,27,110,13564,21,1189,0,28,104152,133459,68
,永豐村,82,41340,3100,423,33919,1652,465,7,12,1012,0,671,0,80,25028,32448,7
,富南村,83,53101,213,583,43762,1063,108,2,29,6843,0,482,0,16,33943,43281,18
,學田村,103,64550,2237,502,55459,1822,1420,9,54,1651,3,350,0,1044,44341,53433,0
,石牌村,181,108490,3127,8964,85810,2599,1507,472,81,5184,0,745,0,0,65881,88560,41
,明里村,60,36898,917,196,34190,731,49,0,56,343,0,415,0,0,26952,29660,116
,羅山村,66,39495,917,1523,30846,2161,1231,0,1,1646,0,1170,0,0,23096,31745,112
,竹田村,203,122321,3675,1402,104327,3227,924,439,53,6996,117,1138,0,22,80741,98734,97
,新興村,90,50237,740,121,45795,1821,333,16,27,860,51,472,0,0,35635,40077,7
,萬寧村,89,50393,1903,323,45325,1745,0,70,57,702,0,241,0,29,34470,39538,0
,豐南村,72,43249,150,432,37043,2169,0,28,66,2805,0,419,139,0,28410,34491,388
,東里村,180,121129,7348,750,103829,3573,470,150,129,4063,0,680,0,136,82242,99542,74
,吳江村,67,32518,1118,173,28689,1319,369,0,16,466,0,344,0,25,21554,25383,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1531,924966,29214,17314,780932,30988,8448,1220,690,46136,191,8316,139,1379,606444,750352,928
秀林鄉,和平村,387,221846,10186,1471,187697,4862,3243,319,202,11291,0,2054,0,521,136321,170471,12
,崇德村,307,180477,4305,401,154661,3805,2020,146,111,11901,0,2932,0,194,115839,141654,13
,富世村,423,266015,5608,7768,240478,6593,1284,131,332,2472,49,1112,0,187,182386,207922,97
,秀林村,394,249042,7789,609,230348,3809,2419,26,230,2303,68,1284,0,157,175026,193720,19
,景美村,354,213737,3506,3638,191015,3758,1663,203,148,6530,31,3040,0,205,145268,167990,122
,佳民村,189,111223,1653,4841,93301,5754,1246,62,95,3436,14,428,0,393,71096,89019,21
,銅門村,290,164091,4487,229,151977,2793,726,124,688,1753,0,1079,0,235,115144,127259,108
,文蘭村,220,151229,4663,1184,141122,2241,325,175,128,463,0,840,0,86,110429,120536,11
,水源村,225,144770,4269,1257,133453,1671,1284,1052,139,1005,83,531,0,27,101297,112614,7
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2789,1702430,46464,21398,1524052,35289,14210,2238,2073,41155,246,13301,0,2004,1152805,1331184,410
萬榮鄉,西林村,274,179554,778,3279,170678,3406,313,25,186,201,44,570,0,73,133920,142795,8
,見晴村,117,68634,262,149,65269,1199,0,73,191,919,75,378,0,120,48368,51733,0
,萬榮村,159,100833,371,648,96968,1882,82,7,111,212,0,285,0,266,75905,79769,3
,明利村,119,76236,1861,409,60401,1722,36,36,28,11596,11,138,0,0,45024,61310,0
,馬遠村,270,140045,2374,868,134632,889,20,55,28,243,72,863,0,2,99226,104640,44
,紅葉村,266,139785,2392,4718,129278,1239,411,61,689,723,24,238,0,11,96163,106670,3
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1205,705087,8038,10071,657225,10337,862,257,1234,13894,225,2472,0,472,498606,546919,58
"表166-U(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：花 蓮 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
卓溪鄉,崙山村,108,69487,529,589,65864,1607,125,0,30,366,0,377,0,0,51372,54995,11
,立山村,235,135217,420,441,131182,1092,229,62,146,979,184,437,0,46,99356,103391,0
,太平村,158,100183,653,374,94537,3289,5,0,159,181,393,592,0,1,73590,79236,83
,卓溪村,161,96088,856,202,90977,2862,95,36,14,831,0,213,0,0,68259,73369,17
,卓清村,189,106594,1081,94,104117,607,7,24,39,226,0,377,0,21,78648,81125,67
,古風村,159,95473,565,173,91132,2799,357,74,27,62,18,184,0,81,68743,73084,15
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1010,603042,4104,1873,577809,12257,818,197,415,2645,595,2179,0,148,439968,465201,193
其　他,其　他,16,13136,54,1053,10057,964,277,80,3,554,0,75,0,19,8282,11361,0
,合　計,16,13136,54,1053,10057,964,277,80,3,554,0,75,0,19,8282,11361,0
