"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,建國里,1324,1193217,21243,18674,960742,49989,12436,932,978,109269,903,16928,6,1116,781103,1014024,535
,成功里,1365,1143195,14270,14189,953353,42565,9246,1128,1100,77066,1283,12932,70,15993,770052,960212,796
,自強里,720,609027,8992,22537,433657,32904,23117,2549,627,71773,0,11650,0,1223,349528,525415,122
,合興里,980,974706,18305,13670,839036,27115,6677,2523,1045,49990,0,13459,0,2886,695473,831510,383
,文化里,1291,1342409,14552,9985,1145412,39726,11165,1783,5606,90536,736,21522,65,1320,959363,1156360,797
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,29449,24797040,446909,347440,20599681,876973,242713,40744,31167,1776366,8911,346630,990,78515,16637586,20837309,11593
造橋鄉,造橋村,729,580557,11688,4570,494482,19407,3263,775,3064,34982,370,5378,0,2578,400115,486190,275
,平興村,141,102606,3050,2774,88128,3923,1346,246,64,2282,0,793,0,0,69023,83502,2
,豐湖村,349,239128,6925,2160,203450,9310,1746,743,258,11069,253,3132,0,83,160543,196222,36
,錦水村,184,127655,1863,879,115402,5230,388,97,157,2322,46,1227,0,45,90845,103098,10
,大西村,1227,850766,13342,4085,759234,28275,5044,522,808,27178,203,11132,0,944,586381,678110,479
,大龍村,166,104011,455,229,93500,4675,482,0,210,3247,0,1154,0,59,71535,82046,0
,朝陽村,434,293110,8051,4080,247026,8045,1988,70,191,19237,0,4350,0,70,188183,234267,40
,談文村,211,142099,6254,989,115424,4984,2695,206,108,9546,0,920,0,973,88006,114681,1
,龍昇村,270,184715,10131,2212,142821,7334,1867,182,84,18075,0,2008,0,0,106462,148356,36
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3711,2624647,61760,21978,2259466,91183,18820,2841,4945,127939,870,30093,0,4751,1761094,2126472,879
後龍鎮,南龍里,406,276140,8542,4377,224401,10589,1632,155,237,17445,0,8424,0,336,175099,226838,27
,中龍里,271,216557,4604,2486,167908,20665,2527,255,127,13889,731,2823,0,543,137825,186474,85
,北龍里,418,283419,12056,5520,211907,19173,8998,398,258,20996,0,3464,0,651,165156,236668,55
,大庄里,1340,987386,26009,10463,808118,44614,11096,1301,716,68230,701,12645,37,3456,638936,818205,492
,溪洲里,664,455554,15869,1793,372060,20697,3735,427,386,33774,0,5121,0,1691,288338,371835,11
,豐富里,404,275489,7931,583,236930,10325,2518,650,240,13730,93,2467,0,24,183567,222126,20
,校椅里,249,189782,3481,1551,163014,10990,1501,63,119,7229,0,1693,0,142,129015,155782,40
,埔頂里,852,601684,14752,8912,506507,15564,2644,174,605,46148,0,5721,0,657,391771,486948,135
,新民里,423,305548,12163,2060,262793,12590,273,72,116,12562,260,2379,16,262,207507,250255,218
,復興里,177,119731,5139,954,103436,3552,586,138,59,3216,0,2585,0,67,82170,98465,8
,東明里,417,298695,14366,3674,238251,9700,955,316,464,26753,794,2957,0,465,183497,243941,28
,灣寶里,334,235385,14479,2270,188552,7651,900,31,152,16618,0,4043,0,689,144348,191182,16
,海寶里,230,159653,10398,354,135281,3738,1104,125,171,5197,1281,1866,0,138,104114,128486,10
,大山里,445,318349,8710,4850,245884,12780,3206,652,257,36981,0,2216,0,2813,191234,263699,24
,外埔里,237,159029,6878,1276,124094,7767,476,62,131,17129,17,1102,0,99,96771,131706,0
,海埔里,241,140225,7336,1991,115047,6063,582,962,183,3057,0,4680,0,324,86341,111519,5
"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,秀水里,196,136474,5009,1512,112737,3569,462,315,40,10967,0,785,0,1078,88755,112493,0
,水尾里,234,138830,2907,1022,120970,4220,1692,140,76,6497,0,1103,0,203,91157,109017,0
,龍津里,178,102627,2179,1218,85687,4171,32,14,53,8728,0,535,0,10,65122,82062,1
,龍坑里,349,250783,6723,4015,192508,8582,8268,89,248,27470,0,1724,0,1156,150343,208618,6
,福寧里,201,159031,4523,928,107265,4699,1409,0,100,38467,0,1417,0,223,82076,133842,3
