"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,大坑村,160,105666,3587,403,85414,4287,925,1,58,10423,0,563,0,7,66325,86578,48
,竹圍村,176,110722,3095,1650,95131,4645,484,25,100,4727,0,506,0,360,74494,90085,7
,赤水村,216,146663,2417,1606,121286,5246,646,419,214,13689,0,1136,0,4,95623,120999,47
,三崙村,304,223399,7122,4022,165197,9795,3031,65,103,20780,6009,7037,0,237,130941,189142,34
,松山村,354,229721,12786,6401,173191,9456,4476,113,189,21342,0,1714,0,54,136767,193297,52
,松柏村,215,134886,2554,1420,111337,4949,2192,108,80,11254,0,990,0,2,87809,111358,5
,埔中村,195,115951,7915,869,93567,3480,227,0,146,8933,0,815,0,0,70575,92959,246
,崁腳村,209,134312,2476,1524,109399,11076,1182,0,189,7320,309,715,0,122,85817,110730,73
,新厝村,181,116089,2308,782,97766,5873,686,55,53,7674,0,889,0,3,77852,96175,17
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,7842,5168714,130106,81074,4217464,227299,53006,6082,6682,380538,6935,47594,305,11627,3286570,4241883,2806
鹿谷鄉,鹿谷村,403,295347,6115,6232,219252,22076,4529,467,246,34414,0,1230,0,786,175819,251914,331
,初鄉村,311,209335,3685,4732,164784,9780,2217,117,265,20137,712,1075,0,1832,131130,175682,22
,彰雅村,267,203114,2815,1683,153556,12781,3666,148,119,25088,0,448,0,2810,124349,173907,38
,廣興村,445,334573,9363,6884,274313,14091,3106,136,200,23896,222,1941,0,419,221659,281918,167
,內湖村,191,117009,6749,1427,85672,4365,1462,252,98,14814,0,1412,0,758,65822,97158,12
,竹林村,246,180976,4468,1204,154976,6448,818,187,137,10599,26,1224,0,887,124759,150759,17
,竹豐村,145,90914,943,1966,76283,4014,336,32,42,5932,0,1047,0,320,58809,73441,164
,和雅村,102,66840,1723,1178,54527,2790,890,113,21,5169,0,269,0,160,42087,54434,111
,鳳凰村,297,222975,5881,4734,166779,8677,4590,761,149,29478,0,827,124,976,131287,187483,390
,永隆村,331,244523,2597,2403,215027,10696,1940,364,121,9876,0,1090,0,408,172575,202485,137
,秀峰村,158,115562,2114,1849,87904,5939,419,142,27,16314,162,690,0,2,68178,95836,34
,清水村,137,82126,3125,1228,67349,4462,606,163,171,4447,0,515,0,61,51256,66033,27
,瑞田村,114,95167,1537,1248,73782,2488,3306,801,31,11475,0,467,0,32,59606,80991,115
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3147,2258462,51114,36767,1794203,108609,27886,3684,1627,211639,1122,12235,124,9452,1427335,1892042,1565
中寮鄉,廣興村,162,98818,4719,1794,78977,4627,1829,219,108,4863,23,1178,0,483,60526,80368,12
,崁頂村,88,56520,407,1046,50271,1688,1066,183,20,1288,0,527,0,22,39489,45737,22
,和興村,106,69671,1039,1937,50846,3513,4148,27,70,7616,0,395,0,80,38311,57135,0
,八仙村,168,102240,2208,221,82502,4041,706,185,66,11532,16,517,0,246,62704,82780,110
,福盛村,114,70279,960,1936,55179,3520,1188,0,55,6123,0,1318,0,0,42460,57560,0
,永平村,443,287374,19445,9710,221894,14068,2010,404,555,15984,19,2435,0,849,170179,235659,219
,復興村,67,39665,996,25,31429,1377,370,0,2,5355,0,111,0,0,24564,32799,180
,中寮村,156,100052,663,1939,85558,4374,112,131,114,6479,0,683,0,0,66500,80995,7
,廣福村,102,68997,1457,228,55612,3448,506,193,55,5429,1650,379,0,41,43027,56412,2
,永福村,309,220575,4341,1310,182321,10117,1515,279,212,19081,0,1066,95,239,143618,181861,492
,義和村,237,126946,3488,859,108707,3604,81,0,65,3793,0,4546,0,1804,79845,98518,10
,清水村,140,86011,6096,5409,66296,4057,511,182,29,3215,0,218,0,0,50533,70249,11
"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,龍安村,146,96678,2409,4599,72593,4159,84,36,5,12281,0,474,0,38,54791,78876,4
,龍岩村,160,94155,3464,537,80735,2228,1070,43,55,5199,0,642,141,41,61177,74944,389
,永和村,111,64029,1986,271,52239,2587,600,11,11,5779,169,223,0,153,40155,51945,5
,內城村,93,63025,4647,821,41862,2185,1125,35,45,12065,0,239,0,0,31481,52644,4
,爽文村,104,54883,2306,102,45978,1833,137,0,15,3301,0,1211,0,0,33625,42530,1
,永芳村,89,43618,811,107,37949,1814,12,0,11,1906,20,364,0,624,27805,33473,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2795,1743536,61442,32851,1400947,73239,17069,1928,1492,131290,1896,16524,236,4622,1070789,1414487,1468
魚池鄉,東池村,324,206682,3596,1373,165580,11187,2355,339,73,19614,152,1908,0,506,129262,170364,16
,魚池村,468,327715,12099,12404,258105,12804,5450,2034,187,17768,47,2683,336,3798,204014,273498,896
,中明村,175,102587,5647,2150,78782,4034,2157,625,24,8366,0,772,0,32,58503,82308,34
,新城村,249,180376,2754,2170,135954,6041,1207,192,103,28559,0,1021,0,2375,104646,149069,32
,大林村,194,105080,5706,1414,84867,4730,665,0,61,6762,0,471,0,403,64278,84491,13
,大雁村,124,94469,1217,974,72952,4454,2662,1024,29,10868,0,262,0,25,57545,79062,91
,五城村,152,88624,2723,874,76780,2705,1195,11,28,4105,0,203,0,0,58232,70076,134
,東光村,167,104988,4068,2216,78471,3880,1321,149,63,10729,0,3503,0,589,59804,86321,6
,共和村,146,117228,2695,1324,85770,2409,1017,233,60,22403,129,756,0,432,69574,101032,28
,水社村,183,128741,14850,6321,83152,7444,4634,85,20,11579,0,451,0,205,65190,110778,209
,頭社村,162,106778,4172,1222,90658,3733,236,154,7,5402,0,699,8,487,70250,86369,207
,武登村,106,95378,2938,1186,55951,1559,280,95,10,32130,0,1229,0,1,44220,83648,169
,日月村,141,142924,37111,761,53695,4309,2067,76,84,42696,0,1479,0,647,41530,130759,238
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2591,1801571,99576,34389,1320715,69289,25245,5016,748,220982,328,15438,345,9500,1027046,1507775,2073
國姓鄉,國姓村,311,226220,8425,2985,156198,14037,3299,193,151,37780,0,1608,0,1544,121567,191589,5
,石門村,340,221927,13989,5054,169647,7813,1871,435,304,20482,0,1817,22,495,132928,185209,411
,大旗村,89,56337,929,425,49102,1537,835,15,87,2809,0,592,0,5,38214,45448,20
,北港村,306,201446,6472,3344,153227,7493,4162,1570,130,22091,4,2395,0,560,118574,166793,58
,長流村,245,136628,9783,433,107568,4196,2297,0,42,9547,0,1042,0,1721,80510,109570,68
,福龜村,335,196895,7596,3010,154268,15023,3491,714,157,9087,0,1632,0,1919,116747,159375,36
,乾溝村,153,93706,1826,887,81556,2342,817,92,81,5139,452,483,0,31,63348,75498,2
,柑林村,194,100662,1936,1097,87024,2759,861,95,121,6415,75,270,0,10,66600,80238,7
,南港村,270,156530,6011,2582,124088,4937,2146,233,96,12920,0,1554,0,1963,92682,125081,2
,北山村,214,124314,4002,2285,104855,2769,992,197,160,7889,0,1163,0,2,82386,101838,4
,大石村,110,66554,4608,1926,51653,1891,230,49,41,5625,0,501,30,0,39411,54310,223
,長福村,111,51793,1483,394,41472,1475,1010,204,9,5537,0,208,0,0,30750,41071,0
,長豐村,92,55059,3109,960,43417,606,326,18,27,6349,0,248,0,0,32633,44275,61
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2770,1688072,70169,25381,1324074,66879,22338,3813,1405,151669,531,13512,52,8250,1016349,1380295,897
水里鄉,水里村,178,96360,2963,1145,80834,3577,1018,106,179,5972,0,193,0,372,61807,77334,92
"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,農富村,139,77709,3006,3849,56276,4055,2372,5,251,6441,0,548,0,906,44701,66135,199
,新城村,358,218155,12616,3375,164864,8415,1187,161,97,25449,0,1584,0,407,126258,179549,267
,中央村,140,76558,2891,4174,51172,7108,2108,43,19,8143,0,523,0,378,40208,65595,117
,城中村,190,126998,2780,4164,93173,6686,546,86,72,18431,0,879,0,180,74073,107898,148
,北埔村,260,176777,6765,3202,139299,8490,4965,154,100,12196,0,816,0,790,111275,148753,162
,鉅工村,281,233254,5631,2995,194531,13340,1060,167,425,10574,0,4237,0,295,162652,201375,45
,永豐村,342,196310,6865,4701,160844,6633,2525,21,184,12330,0,2124,0,83,123564,159355,14
,頂崁村,262,161124,12161,955,127855,6918,1585,1559,342,8564,0,597,13,576,100324,133593,322
,車埕村,93,54960,1717,605,43993,1935,2745,0,21,2559,0,1140,0,245,33600,44567,1
