"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,國華里,1449,1253840,28605,26164,939632,85837,17254,3182,1161,137318,315,10307,281,3783,764983,1079247,1817
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,18271,15031505,441719,392681,11213114,854492,328226,44140,16074,1523753,7301,156750,1389,51867,9043047,12861682,14354
五結鄉,五結村,1067,786358,30707,17610,655910,30648,9324,1858,622,33141,10,5171,0,1356,522844,653292,120
,協和村,916,676302,29461,9238,538710,23719,11529,2449,763,50228,2854,6067,54,1229,423798,561373,565
,大吉村,1006,679967,19160,5113,576356,22424,7828,1598,528,41602,41,4348,0,969,444456,548069,488
,福興村,538,378713,17342,9619,297855,20710,4966,1799,1073,21846,149,2892,0,461,234661,315519,36
,三興村,609,452175,14861,4919,391408,12635,2560,1359,424,20785,0,2605,310,309,311027,371794,776
,鎮安村,756,524232,9715,8027,451805,17400,2753,922,408,25341,860,5746,155,1101,352883,425311,771
,中興村,415,292040,17575,2568,238431,7601,3499,291,301,17991,0,3509,0,274,184611,238220,23
,四結村,817,703837,13443,17910,568769,33011,11382,1792,720,50241,653,5151,273,492,464550,599535,1604
,上四村,485,311698,9175,3687,262213,13844,1824,1211,296,14594,91,2294,0,2470,203615,253100,42
,二結村,580,471915,13373,6922,364941,19953,6433,704,648,54486,0,3327,333,794,291870,398841,974
,利澤村,551,360706,10899,5439,304839,10424,4145,662,363,20559,0,3286,0,89,235278,291145,322
"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,季新村,715,443013,17642,2817,369767,12048,2888,2109,521,26196,3827,3553,0,1646,281893,355112,272
,成興村,817,577149,15610,5263,427851,21010,2102,653,940,99420,386,3657,0,257,319607,468905,229
,孝威村,396,253986,9805,2048,207068,9649,2969,307,651,18803,0,1242,0,1444,156869,203787,136
,錦衆村,339,212132,10851,1696,172103,7607,1327,417,207,15419,0,1706,0,798,130479,170507,180
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,10007,7124223,239620,102876,5828026,262682,75529,18132,8464,510652,8871,54554,1125,13691,4558442,5854508,6537
冬山鄉,南興村,944,769589,14704,11800,653614,27260,7750,3233,600,41754,808,7385,512,171,527748,643723,2002
,冬山村,218,159554,4996,3803,122323,10821,1790,91,140,12543,0,2317,0,730,96736,133968,182
,武淵村,367,265894,9213,7633,209137,8653,4067,1033,206,22757,215,2147,0,833,164101,220858,86
,珍珠村,484,386234,16013,2188,304189,14468,4578,459,549,40708,0,1831,143,1108,242450,324495,700
,三奇村,282,174588,14539,1337,139539,6391,576,1012,77,7493,0,1881,0,1743,104940,139989,17
,補城村,322,238424,10003,4577,192775,7185,292,510,261,20793,16,1970,0,44,151547,197197,72
,大興村,286,196101,9508,293,154998,5784,507,932,99,22110,0,1869,0,1,118452,159555,0
,東城村,456,305280,11503,3989,265919,7915,802,211,195,11852,143,2576,0,174,207832,247194,111
,香和村,918,683789,26679,11844,557048,22495,3971,1049,747,53452,836,5180,82,406,441352,568089,889
,安平村,211,126117,3614,428,104506,2974,2999,251,52,9241,0,1802,0,250,79430,101040,39
,太和村,436,312331,14778,3793,238869,12980,2607,396,442,30402,187,7632,0,245,184150,257612,7
,永美村,964,813276,35056,6013,609570,24626,4875,1335,946,123964,54,4701,0,2139,484186,687892,315
,八寶村,245,175108,4446,760,144987,6260,803,70,64,16575,0,1105,0,39,112422,142544,101
,丸山村,393,290553,10140,1207,231795,7730,1793,134,254,34861,0,2422,44,173,177964,236723,243
,中山村,111,76259,7836,78,57192,1434,1635,196,121,6651,0,1106,0,10,43524,62591,5
,順安村,1492,974891,29730,12296,818037,33448,5814,1765,911,61436,792,9335,21,1305,630040,787379,494
,清溝村,1170,941317,28927,10349,792126,35917,5802,1656,920,53574,116,9855,0,2075,640065,789256,358
,羣英村,1435,1033705,45828,21522,793808,53570,14265,1883,1606,88918,0,9254,0,3050,621580,861476,377
,鹿埔村,650,451824,13845,3387,359707,22670,3491,685,320,32647,533,14151,0,389,276037,368154,87
,得安村,265,174712,4116,2438,134794,7693,1939,450,211,21743,0,1229,0,97,101336,141253,112
,廣興村,755,530294,16204,8881,427314,23011,7565,1188,490,36988,60,4847,0,3745,335792,438773,352
,廣安村,496,376469,12192,5511,298999,16552,5941,846,310,31389,36,3263,0,1431,235399,312869,289
,柯林村,463,371789,13541,5033,293099,18085,5486,1778,402,29963,193,3419,0,790,231862,310552,247
,大進村,148,97604,4364,704,74271,4291,3107,77,75,8789,0,1779,0,147,56009,79342,4
,其　他,2,2080,0,0,324,6,0,0,0,0,0,1750,0,0,216,1972,0
,合　計,13513,9927785,361773,129865,7978938,382218,92453,21242,10000,820603,3988,104805,801,21097,6265170,8214497,7088
蘇澳鎮,港邊里,349,246901,5000,3343,210124,8085,1376,396,137,17075,0,1321,0,44,164529,201306,103
,永春里,160,94147,1637,338,80737,2817,441,297,31,7378,0,433,0,37,60486,73895,15
,東澳里,69,42124,174,524,38616,1605,479,0,14,359,0,351,0,0,29946,33453,0
,聖湖里,743,526355,10893,3774,436023,20777,1371,312,510,45283,12,5731,0,1669,340913,431245,97
,新城里,398,266769,8376,2562,223926,8055,1102,452,125,19884,0,2282,0,5,170945,213787,47
,隘丁里,776,532678,10628,4109,470118,16244,2445,1048,568,22558,0,4478,0,482,363773,426335,138
,永榮里,1059,738145,20639,6989,631536,25853,5926,2491,476,36225,0,7920,46,43,488514,595122,523
"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,存仁里,253,168828,4050,1470,148735,6006,103,1534,211,5139,0,1210,263,107,116508,136602,793
,頂寮里,276,184337,8332,357,163507,3949,87,345,198,6397,0,1154,0,11,124949,145779,15
,永樂里,130,79888,3080,33,62917,2712,270,274,27,10152,0,423,0,0,46268,63257,0
,蘇東里,144,104083,5749,966,69969,3112,885,184,78,21799,0,1341,0,0,53415,87528,0
,朝陽里,105,69820,2641,621,53723,2336,1128,0,13,9084,0,175,0,99,41178,57275,0
,南強里,146,89793,3480,93,77947,3539,1640,0,62,2725,4,297,0,7,60913,72758,36
,南寧里,212,183737,2497,2129,101705,5619,1122,537,110,69347,0,650,0,20,79105,161137,374
,南安里,248,162882,12396,2079,100491,7822,4077,243,98,32858,0,2384,0,432,76961,139351,60
,南正里,206,128844,4952,1927,98490,6596,2763,330,97,11729,0,576,0,1386,76813,107168,7
,蘇西里,714,511677,15756,12186,400647,26803,8616,488,454,39728,0,6584,0,414,313959,424990,337
,蘇南里,138,103858,2317,2390,65521,6975,1830,184,142,23275,0,940,122,163,50782,89119,357
,蘇北里,287,186801,4436,3866,150163,9126,1920,299,248,15470,36,1175,0,62,115167,151805,20
,長安里,164,109873,4536,937,91373,4508,281,46,51,6416,0,1673,0,53,70640,89140,6
,永光里,120,110157,1536,137,65033,4041,870,49,58,37392,0,1039,0,3,51049,96174,4
,南興里,281,170825,2188,3289,143100,5596,825,266,168,13786,22,839,0,745,111701,139426,32
,龍德里,951,597200,15358,3584,512432,16064,3687,364,583,38700,130,5790,273,234,387231,472000,643
,南成里,204,122576,2367,850,99399,6143,359,163,1355,10852,0,1032,0,55,76913,100089,111
,南建里,234,142524,3236,459,123463,4125,646,79,892,7847,0,1437,0,339,96104,115165,44
,聖愛里,769,533835,11926,5481,440457,19929,3183,736,642,47024,187,3549,0,720,341363,434740,309
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,9136,6208656,168184,64495,5060153,228435,47431,11115,7349,558484,391,54785,704,7132,3910124,5058647,4072
三星鄉,月眉村,211,141434,4881,1697,115261,7981,2245,332,74,6660,0,1745,0,558,90575,116748,77
,人和村,96,70851,634,218,57197,5135,2832,9,77,3978,0,766,0,5,46086,59741,7
,義德村,290,214068,4040,3244,173205,11381,4224,574,167,12943,278,2750,0,1262,137331,178194,39
,雙賢村,120,90096,3489,420,64100,5031,723,139,38,15713,0,408,0,36,49924,75921,110
,集慶村,287,191510,4125,1302,164734,7800,1815,458,255,7541,0,3315,0,165,129346,156123,281
,萬德村,131,81628,1824,1431,67246,2816,1087,46,118,6018,0,333,0,708,50573,64955,1
,萬富村,171,146373,4987,3950,104755,9327,1415,887,256,20010,16,324,0,447,85017,126635,123
,貴林村,106,65418,4939,414,52022,2107,1675,110,41,3836,0,240,0,33,39431,52827,4
,大隱村,1147,812016,32529,20509,641752,22335,13047,4688,644,66859,293,8269,0,1091,499783,670047,706
,行健村,192,139954,8043,4462,107183,6590,3970,1199,88,7201,36,842,0,340,83824,116595,54
,拱照村,222,150916,4875,1301,123889,6748,3103,656,162,9412,0,628,0,142,97794,124821,181
,大洲村,425,350684,14516,4291,267821,13916,5793,1053,798,36576,1593,3553,225,549,213092,295955,914
